2012-02-21 22:36:17 Debug: Notice (8): Undefined index: PF in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 25]
2012-02-21 22:36:35 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 25]
2012-02-21 22:44:25 Debug: Notice (8): Undefined index: telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
2012-02-22 02:27:07 Debug: Notice (8): Undefined index: elo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 30]
2012-02-22 02:27:07 Debug: Notice (8): Undefined index: Fisica in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 37]
2012-02-22 02:34:43 Debug: Notice (8): Undefined index: Fisica in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 37]
2012-02-22 02:44:21 Debug: Notice (8): Undefined index: telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 89]
2012-02-22 17:26:30 Debug: Notice (8): Undefined index: or in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 71]
2012-02-22 17:26:30 Debug: Notice (8): Undefined index: dt in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 72]
2012-02-22 17:26:30 Debug: Notice (8): Undefined index: descricao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 73]
2012-02-22 17:54:20 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 278]
2012-02-22 17:57:42 Debug: Notice (8): Undefined property: View::$Formatacao in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 277]
2012-02-22 17:58:10 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 278]
2012-02-22 17:58:25 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 278]
2012-02-22 17:59:22 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 278]
2012-02-22 18:01:31 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:02:19 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
